MESSAGE_ID,SENTIMENT_POLARITY,SENTIMENT_TERM,Text,MESSAGE_ID (2),MESSAGE_LOCATION,USER_LOCATION
tag:search.twitter.com,2005:522383866716520448,NEGATIVE,abuse,tag:search.twitter.com,2005:522383866716520448,POINT (-77.4467499 37.5481200)
tag:search.twitter.com,2005:573893491685650432,POSITIVE,careful,tag:search.twitter.com,2005:573893491685650432,POINT (-122.2727500 37.8715901)
tag:search.twitter.com,2005:573893491685650432,NEGATIVE,inappropriate,tag:search.twitter.com,2005:573893491685650432,POINT (-122.2727500 37.8715901)
tag:search.twitter.com,2005:598823874315341824,NEGATIVE,outrageous,tag:search.twitter.com,2005:598823874315341824,POINT (-77.0002499 38.9170601)
tag:search.twitter.com,2005:614838570055020544,POSITIVE,NOT oversight,tag:search.twitter.com,2005:614838570055020544,POINT (-106.0008499 34.5003400)
tag:search.twitter.com,2005:620692662493036544,POSITIVE,spirit,tag:search.twitter.com,2005:620692662493036544,POINT (-88.3503200 36.8572800)
tag:search.twitter.com,2005:688637876997877760,POSITIVE,NOT oversight,tag:search.twitter.com,2005:688637876997877760,POINT (-106.0008499 34.5003400)
tag:search.twitter.com,2005:537085812404670464,POSITIVE,gift,tag:search.twitter.com,2005:537085812404670464,POINT (-79.6583000 43.5789000)
tag:search.twitter.com,2005:537085812404670464,POSITIVE,gift,tag:search.twitter.com,2005:537085812404670464,POINT (-79.6583000 43.5789000)
tag:search.twitter.com,2005:537085812404670464,POSITIVE,delivered,tag:search.twitter.com,2005:537085812404670464,POINT (-79.6583000 43.5789000)
tag:search.twitter.com,2005:537085812404670464,POSITIVE,delivered,tag:search.twitter.com,2005:537085812404670464,POINT (-79.6583000 43.5789000)
tag:search.twitter.com,2005:576068557924147200,POSITIVE,approval,tag:search.twitter.com,2005:576068557924147200,POINT (-87.4519801 41.5536501)
tag:search.twitter.com,2005:631843978854330369,POSITIVE,well,tag:search.twitter.com,2005:631843978854330369,POINT (55.3333300 25.0000000)
tag:search.twitter.com,2005:637348326275436544,NEGATIVE,compromised,tag:search.twitter.com,2005:637348326275436544,POINT (-84.8776200 38.2004200)
tag:search.twitter.com,2005:637348326275436544,NEGATIVE,compromised,tag:search.twitter.com,2005:637348326275436544,POINT (-84.8776200 38.2004200)
tag:search.twitter.com,2005:522378498410041344,NEGATIVE,abuse,tag:search.twitter.com,2005:522378498410041344,POINT (-85.0007700 32.4709800)
tag:search.twitter.com,2005:613153023557132288,NEGATIVE,criticism,tag:search.twitter.com,2005:613153023557132288,POINT (-98.5000000 39.7599999)
tag:search.twitter.com,2005:522408586266566656,NEGATIVE,abuse,tag:search.twitter.com,2005:522408586266566656,POINT (-82.4575901 28.2189000)
tag:search.twitter.com,2005:522389768932716545,NEGATIVE,abuse,tag:search.twitter.com,2005:522389768932716545,POINT (-75.4998999 43.0003500)
tag:search.twitter.com,2005:522377428031647744,NEGATIVE,abuse,tag:search.twitter.com,2005:522377428031647744,POINT (-98.5000000 39.7599999)
tag:search.twitter.com,2005:522377295911067648,NEGATIVE,abuse,tag:search.twitter.com,2005:522377295911067648,POINT (-98.5000000 39.7599999)
tag:search.twitter.com,2005:532259917952872448,NEGATIVE,oversight,tag:search.twitter.com,2005:532259917952872448,POINT (-77.0002499 38.9170601)
tag:search.twitter.com,2005:635081018911891456,POSITIVE,NOT oversight,tag:search.twitter.com,2005:635081018911891456,POINT (-106.0008499 34.5003400)
tag:search.twitter.com,2005:694607873570111492,NEGATIVE,sucks,tag:search.twitter.com,2005:694607873570111492,POINT (6.8807399 51.4731100)
tag:search.twitter.com,2005:608017269419962368,NEGATIVE,troubling,tag:search.twitter.com,2005:608017269419962368,POINT (-84.3879800 33.7490000)
tag:search.twitter.com,2005:669879948321116160,NEGATIVE,NOT gift,tag:search.twitter.com,2005:669879948321116160,POINT (-87.6900600 42.0411401)
tag:search.twitter.com,2005:669879948321116160,POSITIVE,supporting,tag:search.twitter.com,2005:669879948321116160,POINT (-87.6900600 42.0411401)
tag:search.twitter.com,2005:669879948321116160,POSITIVE,supporting great,tag:search.twitter.com,2005:669879948321116160,POINT (-87.6900600 42.0411401)
tag:search.twitter.com,2005:504635849275744256,POSITIVE,Helpful,tag:search.twitter.com,2005:504635849275744256,POINT (-97.0583701 36.1156099)
tag:search.twitter.com,2005:564093723550953472,NEGATIVE,not work,tag:search.twitter.com,2005:564093723550953472,POINT (72.5023701 34.4599300)
tag:search.twitter.com,2005:564093723550953472,NEGATIVE,Missing,tag:search.twitter.com,2005:564093723550953472,POINT (72.5023701 34.4599300)
tag:search.twitter.com,2005:727986823000100864,NEGATIVE,abused,tag:search.twitter.com,2005:727986823000100864,POINT (-84.3879800 33.7490000)
tag:search.twitter.com,2005:727986823000100864,NEGATIVE,abused,tag:search.twitter.com,2005:727986823000100864,POINT (-84.3879800 33.7490000)
tag:search.twitter.com,2005:605778732071067648,POSITIVE,NOT oversight,tag:search.twitter.com,2005:605778732071067648,POINT (-106.0008499 34.5003400)
tag:search.twitter.com,2005:608017351628316672,NEGATIVE,troubling,tag:search.twitter.com,2005:608017351628316672,POINT (-84.3879800 33.7490000)
tag:search.twitter.com,2005:726818047483351041,POSITIVE,better,tag:search.twitter.com,2005:726818047483351041,POINT (-77.0002499 38.9170601)
tag:search.twitter.com,2005:514240722405322754,POSITIVE,ability,tag:search.twitter.com,2005:514240722405322754,POINT (-92.4699001 44.0216300)
tag:search.twitter.com,2005:522390722721222656,NEGATIVE,abuse,tag:search.twitter.com,2005:522390722721222656,POINT (-98.5000000 39.7599999)
tag:search.twitter.com,2005:587046394088837120,POSITIVE,gorgeous,tag:search.twitter.com,2005:587046394088837120,POINT (-75.1637899 39.9523400)
tag:search.twitter.com,2005:523136883522420736,NEGATIVE,abuse,tag:search.twitter.com,2005:523136883522420736,POINT (-95.3632700 29.7632800)
tag:search.twitter.com,2005:753335265767202816,POSITIVE,I like that,tag:search.twitter.com,2005:753335265767202816,POINT (-122.6762101 45.5234501)
tag:search.twitter.com,2005:753335265767202816,POSITIVE,NOT pestered,tag:search.twitter.com,2005:753335265767202816,POINT (-122.6762101 45.5234501)
tag:search.twitter.com,2005:506987547718082561,POSITIVE,Better,tag:search.twitter.com,2005:506987547718082561,POINT (-82.6302519 42.9163240)
tag:search.twitter.com,2005:522513780262326274,NEGATIVE,abuse,tag:search.twitter.com,2005:522513780262326274,POINT (-80.1936600 25.7742700)
tag:search.twitter.com,2005:532786213745225728,NEGATIVE,oversight,tag:search.twitter.com,2005:532786213745225728,POINT (37.6155600 55.7522200)
tag:search.twitter.com,2005:560109697609375747,POSITIVE,thank you,tag:search.twitter.com,2005:560109697609375747,POINT (-62.9986500 45.0001500)
tag:search.twitter.com,2005:574960569616232448,POSITIVE,great,tag:search.twitter.com,2005:574960569616232448,POINT (-96.6628351 33.0237759)
tag:search.twitter.com,2005:613842300360208384,NEGATIVE,shit,tag:search.twitter.com,2005:613842300360208384,POINT (-89.2503700 40.0003200)
tag:search.twitter.com,2005:677542575159513089,NEGATIVE,stop,tag:search.twitter.com,2005:677542575159513089,POINT (-77.0002499 38.9170601)
tag:search.twitter.com,2005:705829796836720640,POSITIVE,NOT oversight,tag:search.twitter.com,2005:705829796836720640,POINT (-106.0008499 34.5003400)
